zona,quartos,area,preco
sul,1,30,700
sul,2,90,1700
sul,1,30,600
sul,1,40,850
sul,1,20,500
sul,2,70,1800
sul,2,60,1600
sul,2,60,1300
sul,,386,20000
sul,1,30,1100
sul,1,60,1200
sul,2,60,1700
sul,3,500,6000
sul,1,40,900
sul,3,250,1600000
sul,3,140,3500
sul,4,170,3200
sul,1,25,600
sul,1,25,600
sul,1,30,650
sul,2,100,2350
sul,1,30,400
sul,2,106,4500
sul,,220,22000
sul,2,69,2700
sul,2,120,1700
sul,3,80,1600
sul,1,50,800
sul,3,100,1500
sul,1,36,550
sul,1,29,700
sul,,83,2200
sul,,100,3500
sul,3,182,4800
sul,5,1300,42000
sul,3,180,2500
sul,,150,4500
sul,4,150,3400
sul,,300,7500
sul,2,150,3000
sul,4,300,15000
sul,,,5500
sul,2,102,2200
sul,4,280,9000
sul,2,100,2700
sul,4,493,7000
sul,,300,10900
sul,,250,4500
sul,,250,4500
sul,3,135,4500
sul,2,150,3200
sul,3,212,5200
sul,10,750,28100
sul,4,500,25100
sul,2,260,4500
sul,,168,10000
sul,3,120,4200
sul,,168,10000
sul,3,120,4000
sul,5,490,10000
sul,,617,45100
sul,3,125,3500
sul,4,140,13100
sul,2,60,1500
sul,2,301,3500
sul,4,295,12100
sul,2,120,4000
sul,2,60,1800
sul,2,80,2500
sul,,434,45000
sul,3,124,5000
sul,,,2200
sul,,300,12500
sul,2,160,2500
sul,3,170,5000
sul,3,200,4000
sul,1,23,1180
sul,,140,5300
sul,2,60,1700
sul,,,2360
sul,4,350,18100
sul,3,139,2500
sul,2,35,1500
sul,1,70,1600
sul,4,208,5000
sul,3,160,2100
sul,3,200,5200
sul,2,70,2000
sul,3,112,2500
sul,2,130,2400
sul,2,150,3000
sul,3,150,5200
sul,1,300,15000
sul,2,83,2700
sul,2,196,3800
sul,3,125,2600
norte,02,58,1500
norte,1,90,1000
norte,2,70,850
norte,1,70,600
norte,1,160,700
norte,1,40,720
norte,5,150,2000
norte,1,50,820
norte,1,30,1390
norte,1,40,800
norte,2,42,1100
norte,,30,770
norte,2,50,1700
norte,1,30,550
norte,2,45,950
norte,2,40,1000
norte,1,30,1300
norte,2,70,1300
norte,2,70,1700
norte,2,70,1200
norte,2,80,950
norte,2,120,2000
norte,2,80,1350
norte,2,125,2100
norte,2,70,1350
norte,2,90,1800
norte,3,240,4000
norte,2,100,1800
norte,,700,8000
norte,3,120,1800
norte,2,70,1400
norte,4,400,7200
norte,2,100,1400
norte,2,70,1600
norte,2,70,1600
norte,2,80,1150
norte,2,55,1300
norte,2,95,1900
norte,1,110,1100
norte,3,200,2500
norte,2,95,1600
norte,2,84,1800
norte,3,238,2300
norte,2,64,950
norte,2,150,2200
norte,1,48,850
norte,2,150,2200
norte,2,150,2800
norte,2,80,1700
norte,3,200,1950
norte,2,60,2000
norte,5,568,6000
norte,3,120,2700
norte,2,75,1550
norte,,335,6000
norte,3,94,2200
norte,2,100,1900
norte,2,200,1600
norte,3,90,1300
norte,3,98,2500
norte,4,300,4000
norte,,,1000
norte,4,495,15000
norte,2,80,1200
norte,,,3500
norte,2,70,2000
norte,2,40,1100
norte,4,300,5500
norte,2,96,2200
norte,1,50,1100
norte,3,120,2900
norte,2,75,1200
norte,2,90,1800
norte,2,120,2500
norte,3,190,3000
norte,1,35,800
norte,1,40,850
norte,1,30,700
norte,,,950
norte,,100,2800
norte,3,240,4000
norte,2,70,1200
norte,3,190,2500
norte,1,55,900
norte,1,65,900
norte,2,100,1300
norte,2,50,1200
norte,4,80,1400
norte,4,225,4250
norte,1,40,850
norte,2,70,950
norte,1,35,700
norte,2,90,2200
norte,1,45,1050
norte,3,250,2100
norte,2,45,950
